Customer ID,Churn Label,Contract,Monthly Charge,Tenure in Months,Payment Method,Total Revenue,Internet Service
8779-QRDMV,Yes,Month-to-Month,39.65,1,Bank Withdrawal,59.65,Yes
7495-OOKFY,Yes,Month-to-Month,80.65,8,Credit Card,1024.1,Yes
1658-BYGOY,Yes,Month-to-Month,95.45,18,Bank Withdrawal,1910.88,Yes
4598-XLKNJ,Yes,Month-to-Month,98.5,25,Bank Withdrawal,2995.07,Yes
4846-WHAFZ,Yes,Month-to-Month,76.5,37,Bank Withdrawal,3102.36,Yes
4412-YLTKF,Yes,Month-to-Month,78.05,27,Bank Withdrawal,2235.41,Yes
0390-DCFDQ,Yes,Month-to-Month,70.45,1,Mailed Check,85.73,Yes
3445-HXXGF,Yes,Month-to-Month,45.3,58,Bank Withdrawal,2610.25,Yes
2656-FMOKZ,Yes,Month-to-Month,74.45,15,Mailed Check,1806.75,Yes
2070-FNEXE,Yes,Month-to-Month,76.45,7,Bank Withdrawal,681.2,Yes
0094-OIFMO,Yes,Month-to-Month,95.0,11,Bank Withdrawal,1367.79,Yes
9947-OTFQU,Yes,Month-to-Month,74.4,15,Bank Withdrawal,1510.9499999999998,Yes
9514-JDSKI,Yes,Month-to-Month,40.2,1,Bank Withdrawal,40.2,Yes
7273-TEFQD,Yes,Month-to-Month,41.15,3,Bank Withdrawal,132.2,Yes
3606-TWKGI,Yes,Month-to-Month,106.9,13,Bank Withdrawal,1799.14,Yes
4385-GZQXV,Yes,Month-to-Month,94.45,16,Bank Withdrawal,1662.08,Yes
3488-PGMQJ,Yes,Month-to-Month,74.5,8,Bank Withdrawal,620.79,Yes
7534-BFESC,Yes,Month-to-Month,76.1,24,Bank Withdrawal,2453.58,Yes
8098-LLAZX,Yes,Month-to-Month,95.45,4,Bank Withdrawal,522.54,Yes
0265-EDXBD,Yes,Month-to-Month,74.9,32,Bank Withdrawal,3818.23,Yes
2840-XANRC,Yes,Month-to-Month,93.15,24,Bank Withdrawal,2617.4500000000003,Yes
5020-ZSTTY,Yes,One Year,82.45,54,Bank Withdrawal,5002.42,Yes
5804-LEPIM,Yes,Month-to-Month,70.35,2,Bank Withdrawal,165.39,Yes
0623-IIHUG,Yes,Month-to-Month,41.9,21,Bank Withdrawal,840.1,Yes
9057-MSWCO,Yes,Month-to-Month,30.75,27,Credit Card,945.1,Yes
4895-TMWIR,Yes,Month-to-Month,19.95,11,Mailed Check,539.69,No
0533-BNWKF,Yes,Month-to-Month,85.45,55,Bank Withdrawal,7319.799999999999,Yes
0334-GDDSO,Yes,Month-to-Month,81.35,3,Bank Withdrawal,261.36,Yes
5564-NEMQO,Yes,Month-to-Month,75.3,1,Bank Withdrawal,130.39,Yes
6235-VDHOM,Yes,Month-to-Month,28.45,5,Bank Withdrawal,131.05,Yes
